Name,Elevation (m,Latitude (decimal degrees),Longitude (decimal degrees)
Aveiro,15.00,40.64100,-8.65100
Viana Do Castelo,10.00,41.69624,-8.84414
Beja,266.00,38.01400,-7.86300
Évora,258.00,38.56000,-7.90600
Portalegre,273.00,39.28601,-7.43200
Santarém,68.00,39.23100,-8.68200
Bragança,672.00,41.80800,-6.75500
Castelo Branco,383.00,39.81100,-7.48800
Guarda,"1,012.00",40.53482,-7.27447
Viseu,491.00,40.65700,-7.91000
Vila Real,416.00,41.29400,-7.73700
Braga,209.00,41.55499,-8.42133
Faro,22.00,37.01708,-7.93327
Coimbra,77.00,40.20037,-8.41668
Setúbal,48.00,38.52996,-8.90001
Porto,90.00,41.15195,-8.62195
Lisboa,46.00,38.72467,-9.14681
Pinhão,281.00,41.16667,-7.55000
Régua,75.00,41.16667,-7.80000
Moncorvo,608.00,41.16667,-7.05000
Dunas de Mira,11.00,40.45000,-8.75000
Penhas Douradas,"1,351.00",40.41667,-7.55000
Mirandela,215.00,41.48333,-7.18333
Montalegre,"1,035.00",41.80527,-7.78184
Caldas da Rainha,55.00,39.40000,-9.13333
Cabo Carvoeiro,10.00,39.35583,-9.39394
Dois Portos,159.00,39.03333,-9.18333
Elvas,278.00,38.88333,-7.15000
Cabo da Roca,67.00,38.78333,-9.50000
Cabo de São Vicente,19.00,37.03019,-8.98747
Vila Real de Santo António,8.00,37.18333,-7.41667
Mértola,200.00,37.75000,-7.55000
Figueira da Foz,25.00,40.15000,-8.85000
Tavira,10.00,37.11667,-7.65000
Portimão,13.00,37.11667,-8.53333
Alcobaça,85.00,39.53333,-8.96667
